application_number,application_type,sponsor_name,generic_name,brand_name,manufacturer_name,marketing_status,therapeutic_class_epc,therapeutic_class_cs,mechanism_of_action,regulatory_action_type,submission_type,review_priority,approval_year,submission_status_date,product_type,route,dosage_form,substance_name,rxcui,unii
ANDA204355,ANDA,MICRO LABS,DICLOFENAC SODIUM/MISOPROSTOL,DICLOFENAC SODIUM/MISOPROSTOL DICLOFENAC-SODIUM-MISOPROSTOL,Micro Labs Limited,Prescription,Prostaglandin E1 Analog [EPC],"Prostaglandins E, Synthetic [CS]",,AP,ORIG,STANDARD,2021,20210715,HUMAN PRESCRIPTION DRUG,ORAL,"TABLET, DELAYED RELEASE",DICLOFENAC SODIUM,857706,0E43V0BB57
ANDA205742,ANDA,PH HEALTH,GLYCEROL PHENYLBUTYRATE ORAL,GLYCEROL PHENYLBUTYRATE,"Par Health USA, LLC",Prescription,,,,AP,ORIG,STANDARD,2021,20211202,HUMAN PRESCRIPTION DRUG,ORAL,LIQUID,GLYCEROL PHENYLBUTYRATE,1368453,ZH6F1VCV7B
ANDA201676,ANDA,ZYDUS PHARMS,SIROLIMUS,SIROLIMUS,Zydus Pharmaceuticals USA Inc.,Prescription,mTOR Inhibitor Immunosuppressant [EPC],,mTOR Inhibitors [MoA],AP,SUPPL,STANDARD,2023,20231027,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,SIROLIMUS,349208,W36ZG6FT64
ANDA215822,ANDA,VKT PHARMA,FAMOTIDINE 20 MG,CURIST ACID RELIEF,"Little Pharma, Inc.",Over-the-counter,Histamine-2 Receptor Antagonist [EPC],,Histamine H2 Receptor Antagonists [MoA],AP,SUPPL,STANDARD,2022,20220728,HUMAN OTC DRUG,ORAL,TABLET,FAMOTIDINE,310273,5QZO15J2Z8
ANDA209143,ANDA,MACLEODS PHARMS LTD,MOXIFLOXACIN,MOXIFLOXACIN,Macleods Pharmaceuticals Limited,Prescription,,,,AP,ORIG,STANDARD,2026,20260302,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,MOXIFLOXACIN HYDROCHLORIDE,311787,C53598599T
NDA215904,NDA,IMMEDICA PHARMA,GANAXOLONE,ZTALMY,Immedica Pharma US Inc,Prescription,Neuroactive Steroid Gamma-Aminobutyric Acid A Receptor Positive Modulator [EPC],,GABA A Receptor Positive Modulators [MoA],AP,SUPPL,STANDARD,2025,20251016,HUMAN PRESCRIPTION DRUG,ORAL,SUSPENSION,GANAXOLONE,2604694,98WI44OHIQ
ANDA211922,ANDA,SUN PHARM,BUDESONIDE,BUDESONIDE,"Sun Pharmaceutical Industries, Inc.",Prescription,Corticosteroid [EPC],,Corticosteroid Hormone Receptor Agonists [MoA],AP,SUPPL,STANDARD,2023,20230920,HUMAN PRESCRIPTION DRUG,INHALATION,SUSPENSION,BUDESONIDE,252559,Q3OKS62Q6X
ANDA211581,ANDA,AGNITIO,TRIAMTERENE CAPSULES,TRIAMTERENE,TRUPHARMA LLC,Prescription,Potassium-sparing Diuretic [EPC],,,AP,ORIG,STANDARD,2019,20190819,HUMAN PRESCRIPTION DRUG,ORAL,CAPSULE,TRIAMTERENE,198312,WS821Z52LQ
NDA214511,NDA,LUMICELL,PEGULICIANINE,LUMISIGHT,"Lumicell, Inc.",Prescription,,,,AP,ORIG,PRIORITY,2024,20240417,HUMAN PRESCRIPTION DRUG,INTRAVENOUS,POWDER,PEGULICIANINE,,T6HE85WN0Q
ANDA214785,ANDA,BAXTER HLTHCARE CORP,NALOXONE HYDROCHLORIDE,NALOXONE HYDROCHLORIDE,Baxter Healthcare Corporation,Prescription,,,,AP,ORIG,STANDARD,2021,20210129,HUMAN PRESCRIPTION DRUG,INJECTION,INJECTABLE,NALOXONE HYDROCHLORIDE,1191250,F850569PQR
