application_number,application_type,sponsor_name,generic_name,brand_name,manufacturer_name,marketing_status,therapeutic_class_epc,therapeutic_class_cs,mechanism_of_action,regulatory_action_type,submission_type,review_priority,approval_year,submission_status_date,product_type,route,dosage_form,substance_name,rxcui,unii
ANDA214419,ANDA,ASCENT PHARMS INC,VENLAFAXINE,VENLAFAXINE HYDROCHLORIDE,"XLCare Pharmaceuticals, Inc.",Prescription,,,,AP,ORIG,STANDARD,2020,20201021,HUMAN PRESCRIPTION DRUG,ORAL,"TABLET, EXTENDED RELEASE",VENLAFAXINE HYDROCHLORIDE,808744,7D7RX5A8MO
NDA017697,NDA,BRACCO,SINCALIDE,KINEVAC,Bracco Diagnostics Inc.,Prescription,Cholecystokinin Analog [EPC],Cholecystokinin [CS],,AP,SUPPL,STANDARD,2023,20231017,HUMAN PRESCRIPTION DRUG,INTRAVENOUS,POWDER,SINCALIDE,208236,M03GIQ7Z6P
ANDA090397,ANDA,BIONPHARMA,"IBUPROFEN, DIPHENHYDRAMINE HCL","IBUPROFEN, DIPHENHYDRAMINE HCL",Bionpharma Inc.,Over-the-counter,Nonsteroidal Anti-inflammatory Drug [EPC],"Anti-Inflammatory Agents, Non-Steroidal [CS]",Cyclooxygenase Inhibitors [MoA],AP,ORIG,,2010,20101122,HUMAN OTC DRUG,ORAL,CAPSULE,DIPHENHYDRAMINE HYDROCHLORIDE,901814,TC2D6JAD40
ANDA090080,ANDA,APOTEX,MOXIFLOXACIN,MOXIFLOXACIN,Apotex Corp.,Prescription,,,,AP,ORIG,,2017,20170630,HUMAN PRESCRIPTION DRUG,OPHTHALMIC,SOLUTION/DROPS,MOXIFLOXACIN HYDROCHLORIDE MONOHYDRATE,403818,B8956S8609
NDA020380,NDA,GALDERMA LABS LP,ADAPALENE,DIFFERIN,"Galderma Laboratories, L.P.",Over-the-counter,Retinoid [EPC],Retinoids [CS],,AP,SUPPL,STANDARD,2022,20220614,HUMAN OTC DRUG,TOPICAL,GEL,ADAPALENE,153183,1L4806J2QF
ANDA090061,ANDA,HETERO LABS LTD III,FINASTERIDE,FINASTERIDE,"Camber Pharmaceuticals, Inc.",Prescription,5-alpha Reductase Inhibitor [EPC],,5-alpha Reductase Inhibitors [MoA],AP,SUPPL,UNKNOWN,2015,20150319,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,FINASTERIDE,310346,57GNO57U7G
NDA020364,NDA,SANDOZ,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE,LOTREL,Novartis Pharmaceuticals Corporation,Prescription,,,,AP,SUPPL,STANDARD,2002,20020920,HUMAN PRESCRIPTION DRUG,ORAL,CAPSULE,AMLODIPINE BESYLATE,898342,N1SN99T69T
ANDA073589,ANDA,DR REDDYS LABS SA,CARBIDOPA AND LEVODOPA,CARBIDOPA AND LEVODOPA,Dr. Reddy's Laboratories Inc,Prescription,Aromatic Amino Acid Decarboxylation Inhibitor [EPC],"Amino Acids, Aromatic [CS]",DOPA Decarboxylase Inhibitors [MoA],AP,SUPPL,,1999,19990212,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,CARBIDOPA,197443,MNX7R8C5VO
ANDA216819,ANDA,NANJING KING FRIEND,NICARDIPINE HYDROCHLORIDE,NICARDIPINE HYDROCHLORIDE,Meitheal Pharmaceuticals Inc.,Prescription,,,,AP,ORIG,STANDARD,2025,20250820,HUMAN PRESCRIPTION DRUG,INJECTION,INJECTABLE,NICARDIPINE HYDROCHLORIDE,858607,K5BC5011K3
ANDA211097,ANDA,APOTEX,TERIPARATIDE,TERIPARATIDE,Apotex Corp.,Prescription,Parathyroid Hormone Analog [EPC],Parathyroid Hormone [CS],,AP,SUPPL,STANDARD,2024,20241107,HUMAN PRESCRIPTION DRUG,SUBCUTANEOUS,SOLUTION,TERIPARATIDE,1435115,10T9CSU89I
ANDA207378,ANDA,INVAGEN PHARMS,FENOFIBRATE,FENOFIBRATE,"Cipla USA Inc.,",Discontinued,Peroxisome Proliferator Receptor alpha Agonist [EPC],Fibric Acids [CS],Peroxisome Proliferator-activated Receptor alpha Agonists [MoA],AP,SUPPL,STANDARD,2019,20190515,HUMAN PRESCRIPTION DRUG,ORAL,CAPSULE,FENOFIBRATE,200311,U202363UOS
NDA022544,NDA,ALMATICA,GABAPENTIN,GRALISE,Almatica Pharma LLC,Prescription,,,,AP,SUPPL,STANDARD,2020,20200402,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,GABAPENTIN,1115012,6CW7F3G59X
ANDA209065,ANDA,HENGRUI PHARMA,DEXMEDETOMIDINE HYDROCHLORIDE IN 0.9% SODIUM CHLORIDE,DEXMEDETOMIDINE HYDROCHLORIDE IN 0.9% SODIUM CHLORIDE,Sandoz Inc.,Prescription,,,,AP,ORIG,STANDARD,2017,20170919,HUMAN PRESCRIPTION DRUG,INJECTION,INJECTABLE,DEXMEDETOMIDINE HYDROCHLORIDE,1718900,1018WH7F9I
ANDA203244,ANDA,STRIDES PHARMA,GABAPENTIN,GABAPENTIN,"ACI Healthcare USA, Inc.",Prescription,,,,AP,ORIG,,2013,20130712,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,GABAPENTIN,310433,6CW7F3G59X
NDA209379,NDA,AM REGENT,SELENIOUS ACID,SELENIOUS ACID,"American Regent, Inc.",Prescription,,,,AP,SUPPL,STANDARD,2021,20210125,HUMAN PRESCRIPTION DRUG,INTRAVENOUS,SOLUTION,SELENIUM,2176324,H6241UJ22B
ANDA074821,ANDA,SANDOZ,TRIAMTERENE AND HYDROCHLOROTHIAZIDE,TRIAMTERENE AND HYDROCHLOROTHIAZIDE,Sandoz Inc,Prescription,Thiazide Diuretic [EPC],Thiazides [CS],,AP,SUPPL,,2000,20000912,HUMAN PRESCRIPTION DRUG,ORAL,CAPSULE,HYDROCHLOROTHIAZIDE,198316,0J48LPH2TH
NDA019634,NDA,B BRAUN,"DEXTROSE, SODIUM CHLORIDE, SODIUM LACTATE, POTASSIUM CHLORIDE, AND CALCIUM CHLORIDE",DEXTROSE IN LACTATED RINGERS,B. Braun Medical Inc.,Prescription,,,,AP,SUPPL,STANDARD,2002,20020723,HUMAN PRESCRIPTION DRUG,INJECTION,INJECTABLE,CALCIUM CHLORIDE,847627,M4I0D6VV5M
NDA209112,NDA,MCGUFF,ASCORBIC ACID,ASCOR,"McGuff Pharmaceuticals, Inc.",Prescription,Vitamin C [EPC],Ascorbic Acid [CS],,AP,SUPPL,STANDARD,2024,20240117,HUMAN PRESCRIPTION DRUG,INTRAVENOUS,SOLUTION,ASCORBIC ACID,308395,PQ6CK8PD0R
NDA200603,NDA,SUNOVION PHARMS INC,LURASIDONE HYDROCHLORIDE,LATUDA,"Sumitomo Pharma America, Inc.",Prescription,,,,AP,SUPPL,STANDARD,2016,20161220,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,LURASIDONE HYDROCHLORIDE,1040031,O0P4I5851I
NDA016697,NDA,BAXTER HLTHCARE,DEXTROSE AND SODIUM CHLORIDE,DEXTROSE AND SODIUM CHLORIDE,Baxter Healthcare Company,Prescription,,,,AP,SUPPL,STANDARD,1991,19910326,HUMAN PRESCRIPTION DRUG,INJECTION,INJECTABLE,DEXTROSE MONOHYDRATE,1794881,451W47IQ8X
NDA218160,NDA,ELI LILLY AND CO,SELPERCATINIB,RETEVMO,Eli Lilly and Company,Prescription,Kinase Inhibitor [EPC],,Rearranged during Transfection (RET) Inhibitors [MoA],AP,SUPPL,STANDARD,2025,20251120,HUMAN PRESCRIPTION DRUG,ORAL,CAPSULE,SELPERCATINIB,2370164,CEGM9YBNGD
ANDA213223,ANDA,ALEMBIC,TIZANIDINE HYDROCHLORIDE,TIZANIDINE HYDROCHLORIDE,Alembic Pharmaceuticals Limited,Prescription,,,,AP,SUPPL,STANDARD,2025,20250924,HUMAN PRESCRIPTION DRUG,ORAL,CAPSULE,TIZANIDINE HYDROCHLORIDE,485484,B53E3NMY5C
NDA212279,NDA,GISKIT,AIR POLYMER-TYPE A INTRAUTERINE FOAM,EXEM FOAM,GISKIT PHARMA B.V.,Prescription,,,,AP,ORIG,STANDARD,2019,20191107,HUMAN PRESCRIPTION DRUG,INTRAUTERINE,FOAM,,,
ANDA216212,ANDA,CADILA PHARMS LTD,ERYTHROMYCIN ETHYLSUCCINATE,ERYTHROMYCIN ETHYLSUCCINATE,Cadila Pharmaceuticals Limited,Prescription,,,,AP,ORIG,STANDARD,2022,20221121,HUMAN PRESCRIPTION DRUG,ORAL,GRANULE,ERYTHROMYCIN ETHYLSUCCINATE,686400,1014KSJ86F
ANDA213181,ANDA,AJANTA PHARMA LTD,DIVALPROEX SODIUM,DIVALPROEX SODIUM,Ajanta Pharma USA Inc.,Prescription,,,,AP,ORIG,STANDARD,2020,20200228,HUMAN PRESCRIPTION DRUG,ORAL,"CAPSULE, DELAYED REL PELLETS",DIVALPROEX SODIUM,1099596,644VL95AO6
ANDA203125,ANDA,HIKMA,METHYLPREDNISOLONE SODIUM SUCCINATE,METHYLPREDNISOLONE SODIUM SUCCINATE,Hikma Pharmaceuticals USA Inc.,Prescription,,,,AP,ORIG,,2022,20220926,HUMAN PRESCRIPTION DRUG,INJECTION,INJECTABLE,METHYLPREDNISOLONE SODIUM SUCCINATE,311659,LEC9GKY20K
ANDA211403,ANDA,DR REDDYS,DAPTOMYCIN,DAPTOMYCIN,"Dr. Reddy's Laboratories Inc.,",Prescription,Lipopeptide Antibacterial [EPC],Lipopeptides [CS],,AP,ORIG,STANDARD,2020,20200831,HUMAN PRESCRIPTION DRUG,INTRAVENOUS,POWDER,DAPTOMYCIN,1996246,NWQ5N31VKK
ANDA217846,ANDA,MICRO LABS,BRIMONIDINE TARTRATE,BRIMONIDINE TARTRATE,Micro Labs Limited,Prescription,,,,AP,ORIG,STANDARD,2023,20231122,HUMAN PRESCRIPTION DRUG,OPHTHALMIC,SOLUTION/DROPS,BRIMONIDINE TARTRATE,861200,4S9CL2DY2H
ANDA211925,ANDA,MICRO LABS,CHLORDIAZEPOXIDE AND AMITRIPTYLINE HYDROCHLORIDE,CHLORDIAZEPOXIDE AND AMITRIPTYLINE HYDROCHLORIDE,Micro Labs Limited,Discontinued,Benzodiazepine [EPC],Benzodiazepines [CS],,AP,SUPPL,STANDARD,2023,20230117,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,AMITRIPTYLINE HYDROCHLORIDE,,6RZ6XEZ3CR
ANDA217903,ANDA,CAPLIN,OFLOXACIN,OFLOXACIN,"Leading Pharma, LLC",Prescription,Quinolone Antimicrobial [EPC],Quinolones [CS],,AP,ORIG,STANDARD,2024,20240105,HUMAN PRESCRIPTION DRUG,OTIC,SOLUTION/DROPS,OFLOXACIN,242446,A4P49JAZ9H
ANDA213497,ANDA,AET PHARMA,LEFLUNOMIDE,LEFLUNOMIDE,"Burel Pharmaceuticals, LLC",Prescription,Antirheumatic Agent [EPC],,,AP,ORIG,STANDARD,2021,20210510,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,LEFLUNOMIDE,205284,G162GK9U4W
ANDA040802,ANDA,MYLAN LABS LTD,DEXAMETHASONE SODIUM PHOSPHATE,DEXAMETHASONE SODIUM PHOSPHATE,Mylan Institutional LLC,Prescription,,,,AP,SUPPL,STANDARD,2024,20240605,HUMAN PRESCRIPTION DRUG,INJECTION,INJECTABLE,DEXAMETHASONE SODIUM PHOSPHATE,309696,AI9376Y64P
ANDA090801,ANDA,GLENMARK PHARMS LTD,URSODIOL,URSODIOL,BluePoint Laboratories,Prescription,Bile Acid [EPC],Bile Acids and Salts [CS],,AP,SUPPL,STANDARD,2023,20230425,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,URSODIOL,858733,724L30Y2QR
ANDA076194,ANDA,WATSON LABS,LISINOPRIL AND HYDROCHLOROTHIAZIDE,LISINOPRIL AND HYDROCHLOROTHIAZIDE,"Actavis Pharma, Inc.",Prescription,Thiazide Diuretic [EPC],Thiazides [CS],,AP,SUPPL,STANDARD,2020,20200707,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,HYDROCHLOROTHIAZIDE,197885,E7199S1YWR
NDA219249,NDA,GENENTECH INC,INAVOLISIB,ITOVEBI,"Genentech, Inc.",Prescription,Kinase Inhibitor [EPC],,Phosphoinositide 3-Kinase alpha Inhibitors [MoA],AP,SUPPL,STANDARD,2025,20250925,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,INAVOLISIB,2695427,L4C1UY2NYH
ANDA073508,ANDA,ACTAVIS PHARMA,MICONAZOLE NITRATE,MICONAZOLE NITRATE,"Actavis Pharma, Inc.",Prescription,,,,AP,SUPPL,,1996,19960628,HUMAN PRESCRIPTION DRUG,VAGINAL,SUPPOSITORY,MICONAZOLE NITRATE,992765,VW4H1CYW1K
ANDA211246,ANDA,LUPIN LTD,ESLICARBAZEPINE ACETATE,ESLICARBAZEPINE ACETATE,"Lupin Pharmaceuticals, Inc.",Prescription,,,,AP,ORIG,STANDARD,2024,20240327,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,ESLICARBAZEPINE ACETATE,1482507,BEA68ZVB2K
ANDA214136,ANDA,COSETTE,TAZAROTENE,TAZAROTENE,"Cosette Pharmaceuticals, Inc.",Prescription,Retinoid [EPC],Retinoids [CS],,AP,ORIG,STANDARD,2022,20220913,HUMAN PRESCRIPTION DRUG,TOPICAL,GEL,TAZAROTENE,313201,81BDR9Y8PS
ANDA201806,ANDA,HETERO LABS LTD III,EMTRICITABINE AND TENOFOVIR DISOPROXIL FUMARATE,EMTRICITABINE AND TENOFOVIR DISOPROXIL FUMARATE,"Camber Pharmaceuticals, Inc.",Prescription,Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC],Nucleosides [CS],Nucleoside Reverse Transcriptase Inhibitors [MoA],AP,ORIG,,2021,20211007,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,EMTRICITABINE,476556,G70B4ETF4S
ANDA218330,ANDA,ALEMBIC,PALIPERIDONE,PALIPERIDONE,Alembic Pharmaceuticals Limited,Prescription,Atypical Antipsychotic [EPC],,,AP,ORIG,STANDARD,2024,20240926,HUMAN PRESCRIPTION DRUG,ORAL,"TABLET, EXTENDED RELEASE",PALIPERIDONE,672567,838F01T721
ANDA075256,ANDA,DURAMED PHARMS BARR,DESOGESTREL AND ETHINYL ESTRADIOL,RECLIPSEN 28 DAY,"Teva Pharmaceuticals USA, Inc.",Prescription,,,,AP,SUPPL,,2001,20010727,HUMAN PRESCRIPTION DRUG,ORAL-28,TABLET,,240707,
ANDA212416,ANDA,CUSTOPHARM INC,CALCITONIN SALMON,CALCITONIN SALMON,Hikma Pharmaceuticals USA Inc.,Prescription,Calcitonin [EPC],Calcitonin [CS],,AP,ORIG,STANDARD,2021,20210514,HUMAN PRESCRIPTION DRUG,INJECTION,INJECTABLE,CALCITONIN SALMON,308866,7SFC6U2VI5
ANDA211657,ANDA,SCIEGEN PHARMS,SOLIFENACIN SUCCINATE,SOLIFENACIN SUCCINATE,"ScieGen Pharmaceuticals, Inc.",Prescription,,,,AP,ORIG,STANDARD,2019,20190520,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,SOLIFENACIN SUCCINATE,477367,KKA5DLD701
ANDA206931,ANDA,ABHAI LLC,DEXMETHYLPHENIDATE HYDROCHLORIDE,DEXMETHYLPHENIDATE HYDROCHLORIDE,"KVK-TECH, INC",Prescription,,,,AP,SUPPL,STANDARD,2023,20230508,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,DEXMETHYLPHENIDATE HYDROCHLORIDE,899518,1678OK0E08
ANDA209538,ANDA,TARO,PERAMPANEL,PERAMPANEL,"Sun Pharmaceutical Industries, Inc.",Prescription,Noncompetitive AMPA Glutamate Receptor Antagonist [EPC],,AMPA Receptor Antagonists [MoA],AP,ORIG,STANDARD,2025,20251125,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,PERAMPANEL,1356557,H821664NPK
ANDA078572,ANDA,DR REDDYS LABS LTD,FLUOXETINE HYDROCHLORIDE,FLUOXETINE HYDROCHLORIDE,Dr.Reddy's Laboratories Limited,Prescription,,,,AP,SUPPL,STANDARD,2021,20210901,HUMAN PRESCRIPTION DRUG,ORAL,"CAPSULE, DELAYED REL PELLETS",FLUOXETINE HYDROCHLORIDE,313995,I9W7N6B1KJ
ANDA211143,ANDA,ALKEM LABS LTD,METOPROLOL SUCCINATE ER TABLETS,METOPROLOL SUCCINATE,"Ascend Laboratories, LLC",Prescription,,,,AP,SUPPL,STANDARD,2023,20230703,HUMAN PRESCRIPTION DRUG,ORAL,"TABLET, EXTENDED RELEASE",METOPROLOL SUCCINATE,866412,TH25PD4CCB
ANDA205888,ANDA,AUROBINDO PHARMA,PRASUGREL,PRASUGREL,Aurobindo Pharma Limited,Prescription,,,,AP,ORIG,STANDARD,2017,20171016,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,PRASUGREL HYDROCHLORIDE,855812,G89JQ59I13
ANDA218247,ANDA,DR REDDYS,"ACETAMINOPHEN AND IBUPROFEN (NSAID) TABLETS, 250 MG/ 125 MG",DUAL ACTION,Dr. Reddy's Laboratories Inc,Over-the-counter,Nonsteroidal Anti-inflammatory Drug [EPC],"Anti-Inflammatory Agents, Non-Steroidal [CS]",Cyclooxygenase Inhibitors [MoA],AP,ORIG,STANDARD,2024,20240823,HUMAN OTC DRUG,ORAL,TABLET,ACETAMINOPHEN,2387532,362O9ITL9D
ANDA040682,ANDA,HERITAGE PHARMS LABS,BENZONATATE,BENZONATATE,Amneal Pharmaceuticals LLC,Prescription,Non-narcotic Antitussive [EPC],,,AP,SUPPL,,2011,20110301,HUMAN PRESCRIPTION DRUG,ORAL,CAPSULE,BENZONATATE,197397,5P4DHS6ENR
NDA021140,NDA,KENVUE BRANDS,LOPERAMIDE HYDROCHLORIDE AND DIMETHICONE,IMODIUM MULTI-SYMPTOM RELIEF,Kenvue Brands LLC,Over-the-counter,,,,AP,SUPPL,STANDARD,2015,20150318,HUMAN OTC DRUG,ORAL,TABLET,DIMETHICONE,978001,92RU3N3Y1O
ANDA216948,ANDA,MSN,NELARABINE,NELARABINE,Novadoz Pharmaceuticals LLC,Prescription,Nucleoside Metabolic Inhibitor [EPC],,Nucleic Acid Synthesis Inhibitors [MoA],AP,ORIG,STANDARD,2024,20240913,HUMAN PRESCRIPTION DRUG,INTRAVENOUS,INJECTABLE,NELARABINE,603566,60158CV180
ANDA203995,ANDA,AMNEAL PHARMS,DICLOFENAC SODIUM AND MISOPROSTOL,DICLOFENAC SODIUM AND MISOPROSTOL,Amneal Pharmaceuticals LLC,Prescription,Prostaglandin E1 Analog [EPC],"Prostaglandins E, Synthetic [CS]",,AP,ORIG,,2016,20161125,HUMAN PRESCRIPTION DRUG,ORAL,"TABLET, DELAYED RELEASE",DICLOFENAC SODIUM,857706,0E43V0BB57
ANDA208315,ANDA,ALKEM LABS LTD,MYCOPHENOLIC ACID,MYCOPHENOLIC ACID,"Ascend Laboratories, LLC",Prescription,,,,AP,SUPPL,,2024,20240813,HUMAN PRESCRIPTION DRUG,ORAL,"TABLET, DELAYED RELEASE",MYCOPHENOLATE SODIUM,485020,WX877SQI1G
ANDA218744,ANDA,MACLEODS PHARMS LTD,DILTIAZEM HYDROCHLORIDE,DILTIAZEM HYDROCHLORIDE,Macleods Pharmaceuticals Limited,Prescription,,,,AP,ORIG,STANDARD,2026,20260227,HUMAN PRESCRIPTION DRUG,ORAL,"CAPSULE, EXTENDED RELEASE",DILTIAZEM HYDROCHLORIDE,830795,OLH94387TE
ANDA210705,ANDA,AJANTA PHARMA LTD,FENOFIBRATE,FENOFIBRATE,Ajanta Pharma USA Inc.,Prescription,Peroxisome Proliferator Receptor alpha Agonist [EPC],Fibric Acids [CS],Peroxisome Proliferator-activated Receptor alpha Agonists [MoA],AP,SUPPL,STANDARD,2019,20190515,HUMAN PRESCRIPTION DRUG,ORAL,CAPSULE,FENOFIBRATE,200311,U202363UOS
NDA008316,NDA,SANOFI AVENTIS US,PRIMAQUINE PHOSPHATE,PRIMAQUINE PHOSPHATE,Sanofi-Aventis U.S. LLC,Prescription,,,,AP,SUPPL,STANDARD,1976,19760911,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,PRIMAQUINE PHOSPHATE,904170,H0982HF78B
ANDA090517,ANDA,QUAGEN,VALPROIC ACID,VALPROIC ACID,QUAGEN PHARMACEUTICALS LLC,Prescription,Anti-epileptic Agent [EPC],,,AP,SUPPL,,2015,20150116,HUMAN PRESCRIPTION DRUG,ORAL,SYRUP,VALPROIC ACID,1099687,614OI1Z5WI
ANDA208678,ANDA,PH HEALTH,COLCHICINE,COLCHICINE,"Par Health USA, LLC",Prescription,Alkaloid [EPC],Alkaloids [CS],,AP,SUPPL,STANDARD,2023,20230907,HUMAN PRESCRIPTION DRUG,ORAL,CAPSULE,COLCHICINE,,SML2Y3J35T
ANDA207231,ANDA,INVENTIA,ILOPERIDONE,ILOPERIDONE,Mylan Pharmaceuticals Inc.,Discontinued,Atypical Antipsychotic [EPC],,,AP,SUPPL,STANDARD,2020,20200911,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,ILOPERIDONE,848722,VPO7KJ050N
ANDA203432,ANDA,AJANTA PHARMA LTD,MONTELUKAST SODIUM,MONTELUKAST SODIUM,Ajanta Pharma USA Inc.,Discontinued,,,,AP,SUPPL,STANDARD,2019,20191108,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,MONTELUKAST SODIUM,200224,U1O3J18SFL
ANDA212377,ANDA,AUROBINDO PHARMA USA,PILOCARPINE HYDROCHLORIDE,PILOCARPINE HYDROCHLORIDE,Aurobindo Pharma Limited,Prescription,,,,AP,ORIG,STANDARD,2019,20190813,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,PILOCARPINE HYDROCHLORIDE,1000913,0WW6D218XJ
ANDA211015,ANDA,SOMERSET THERAPS LLC,VERAPAMIL HYDROCHLORIDE,VERAPAMIL HYDROCHLORIDE,"Somerset Therapeutics, LLC",Prescription,,,,AP,ORIG,STANDARD,2018,20180618,HUMAN PRESCRIPTION DRUG,INTRAVENOUS,SOLUTION,VERAPAMIL HYDROCHLORIDE,1665057,V3888OEY5R
NDA022068,NDA,NOVARTIS,NILOTINIB,TASIGNA,Novartis Pharmaceuticals Corporation,Prescription,,,,AP,SUPPL,N/A,2013,20130522,HUMAN PRESCRIPTION DRUG,ORAL,CAPSULE,NILOTINIB HYDROCHLORIDE MONOHYDRATE,746606,5JHU0N1R6K
NDA216340,NDA,BRISTOL,ADAGRASIB,KRAZATI,"Mirati Therapeutics, Inc",Prescription,,,,AP,SUPPL,STANDARD,2026,20260325,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,ADAGRASIB,,8EOO6HQF8Y
NDA020517,NDA,ABBVIE ENDOCRINE INC,LEUPROLIDE ACETATE,LUPRON DEPOT,AbbVie Inc.,Prescription,,,,AP,SUPPL,STANDARD,2010,20100428,HUMAN PRESCRIPTION DRUG,INJECTION,INJECTABLE,,1115257,
NDA215206,NDA,ABBVIE,ATOGEPANT,QULIPTA,AbbVie Inc.,Prescription,Calcitonin Gene-related Peptide Receptor Antagonist [EPC],,Calcitonin Gene-related Peptide Receptor Antagonists [MoA],AP,SUPPL,STANDARD,2025,20250610,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,ATOGEPANT,2571836,7CRV8RR151
NDA020671,NDA,SANDOZ,TOPOTECAN HYDROCHLORIDE,HYCAMTIN,Novartis Pharmaceuticals Corporation,Prescription,,,,AP,SUPPL,PRIORITY,2001,20010803,HUMAN PRESCRIPTION DRUG,INJECTION,INJECTABLE,TOPOTECAN HYDROCHLORIDE,637550,956S425ZCY
ANDA215660,ANDA,GLAND,DORZOLAMIDE HYDROCHLORIDE,DORZOLAMIDE HYDROCHLORIDE,Sagent Pharmaceuticals,Prescription,,,,AP,SUPPL,STANDARD,2025,20250508,HUMAN PRESCRIPTION DRUG,OPHTHALMIC,SOLUTION/DROPS,DORZOLAMIDE HYDROCHLORIDE,310015,QZO5366EW7
ANDA204351,ANDA,BIOMEDCL RES FDN,SODIUM FLUORIDE F-18,SODIUM FLUORIDE F 18,Biomedical Research Foundation of Northwest Louisiana,Prescription,,,,AP,ORIG,,2015,20150109,HUMAN PRESCRIPTION DRUG,INTRAVENOUS,INJECTABLE,SODIUM FLUORIDE F-18,,9L75099X6R
ANDA091656,ANDA,CADILA PHARMS LTD,OFLOXACIN,OFLOXACIN,"Nivagen Pharmaceuticals, Inc.",Prescription,Quinolone Antimicrobial [EPC],Quinolones [CS],,AP,SUPPL,STANDARD,2018,20181018,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,OFLOXACIN,198048,A4P49JAZ9H
ANDA065358,ANDA,SANDOZ INC,AMOXICILLIN AND CLAVULANATE POTASSIUM,AMOXICILLIN AND CLAVULANATE POTASSIUM,Sandoz Inc,Prescription,,,,AP,SUPPL,STANDARD,2024,20240624,HUMAN PRESCRIPTION DRUG,ORAL,FOR SUSPENSION,AMOXICILLIN,617993,804826J2HU
ANDA076811,ANDA,NOVITIUM PHARMA,ANAGRELIDE,ANAGRELIDE,"ANI Pharmaceuticals, Inc.",Prescription,,,,AP,SUPPL,STANDARD,2016,20161113,HUMAN PRESCRIPTION DRUG,ORAL,CAPSULE,ANAGRELIDE HYDROCHLORIDE,597850,YTM763Y5C8
ANDA091023,ANDA,DR REDDYS LABS LTD,CLOPIDOGREL BISULFATE,CLOPIDOGREL BISULFATE,Dr.Reddy's Laboratories Inc,Prescription,,,,AP,SUPPL,STANDARD,2023,20230508,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,CLOPIDOGREL BISULFATE,309362,08I79HTP27
ANDA208913,ANDA,ACTAVIS LABS FL INC,GEFITINIB,GEFITINIB,"Teva Pharmaceuticals, Inc.",Prescription,Kinase Inhibitor [EPC],,Protein Kinase Inhibitors [MoA],AP,ORIG,STANDARD,2023,20230426,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,GEFITINIB,349472,S65743JHBS
ANDA205630,ANDA,LUPIN LTD,NORGESTIMATE AND ETHINYL ESTRADIOL,NORGESTIMATE AND ETHINYL ESTRADIOL,"Lupin Pharmaceuticals, Inc.",Prescription,,,,AP,SUPPL,STANDARD,2025,20250307,HUMAN PRESCRIPTION DRUG,ORAL-28,TABLET,,240128,
NDA208010,NDA,EIRGEN,CALCIFEDIOL,RAYALDEE,OPKO Pharmaceuticals LLC,Prescription,,,,AP,SUPPL,STANDARD,2019,20191217,HUMAN PRESCRIPTION DRUG,ORAL,"CAPSULE, EXTENDED RELEASE",CALCIFEDIOL,1855066,P6YZ13C99Q
ANDA065246,ANDA,PLIVA,AZITHROMYCIN,AZITHROMYCIN,"Teva Pharmaceuticals USA, Inc.",Prescription,,,,AP,SUPPL,,2012,20120228,HUMAN PRESCRIPTION DRUG,ORAL,FOR SUSPENSION,AZITHROMYCIN MONOHYDRATE,141963,JTE4MNN1MD
ANDA075317,ANDA,JUBILANT CADISTA,TERAZOSIN HYDROCHLORIDE,TERAZOSIN,Jubilant Cadista Pharmacuticals Inc.,Prescription,,,,AP,SUPPL,UNKNOWN,2015,20150320,HUMAN PRESCRIPTION DRUG,ORAL,CAPSULE,TERAZOSIN HYDROCHLORIDE,260376,D32S14F082
ANDA077522,ANDA,LUPIN,TRANDOLAPRIL,TRANDOLAPRIL,"Lupin Pharmaceuticals, Inc.",Prescription,Angiotensin Converting Enzyme Inhibitor [EPC],,Angiotensin-converting Enzyme Inhibitors [MoA],AP,SUPPL,,2009,20091015,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,TRANDOLAPRIL,199351,1T0N3G9CRC
